pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
16666,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",55851.32,62509,55204,1325059,214092.3,127701.1,138760,70370,82953,115893.9,121293,119244,261329.8,256954.7,50030,141551,134580.9,31242,378703,55412,50731,265933,37169,67981,281814,65644,2012850,302192,281931,85473.59,100740,36162,38072
91704350,"methyl 3-cyclopropyl-2-(4-fluorophenyl)-3,4-dihydropyrazole-5-carboxylate",22451.45,12217.54,21346,6359,3379.973,5503.69,10642.6,9099.779,1501.073,7204,6209.216,7801,17545,13044,15422,8880,3149,10762,5784,6414,5347,6352,4525,4626.241,6284,2342.334,7341,12189,7615,10825,13997,6863,7369
4133,methyl 2-hydroxybenzoate,9500413,5496,4175.039,4138.51,8012,5143.649,6839,8175,7058,13126,5441,10241,13205,15465.56,4913,10554,4566.96,141667.1,4994,7983,99282.2,11064.25,3306,4943,7651,5543.945,5289,21298,14814.41,4406,7573.969,2114.764,2317.321
985,hexadecanoic acid,128397,328563,52963,108272,119333,251169,103327,71036,78201,199504,313774,304249,106642.7,93856,192896,68961,897.7801,954.5553,3568.565,1942.454,2151.774,5660,17838,2784.772,2992.279,9217,2400.576,8923,2721.749,3781.62,14099,275.3036,808.1946
13544681,N-methyl-N-[2-(methylamino)ethyl]benzamide,249606,126849,111018,780810,95256,518587,135922,119504,105473,141595,91586,190007,109557,78607,306458,185888,98478,157983,78335,20973,232704,171250,38120,155399,101159,45904,38725,95174,108535.6,71218,53330.65,521020,538709
545954,2-methyl-5-propylnonane,34616.82,5409,5735,44725.4,17029,6734.68,13612,6097,10690,7412,4850,19018,56608.28,8950.773,10534,16587.33,29512.94,12042.97,11293,2647.11,4854.435,7750,3894.005,6977,7497,7588,3508.332,13994,10832,15732.62,49589.81,1141.205,3076.723
66171,1-ethenylimidazole,1105814,2224584,1142714,248700,574703,560936,10419998,866296,1839135,555401,2005828,2306072,650296,1762152,3116569,554618,317269,171594,484770,508830,734906,643440,1761346,545457,881326,283079,320201,6327870,1050529,2175978,1246771,1410760,484929
537332,5-ethyl-2-methyloctane,4511,10103.47,2584,4047.015,3106,5351,3115,3432,2851.574,5425,4357,5822,5037,6526.218,4771.627,5158,2570.135,2159.728,2891,6070,6003,7916,2471.026,2815,2731.139,2431.211,2227.47,13497,4519,3744,5337,5248,2520.582
9602988,methyl (Z)-N-hydroxybenzenecarboximidate,1595790,1817860,5051.925,1216545,1659583,1701527,1078577,547134,551919.2,1364947,1421285,1283786,1333037,710168,1042095,992724,664948,1092538,466588.8,445899,512646,4685.913,999056,609354,655453,856188,427394,1396439,895321,1032702,1460035,348070,607650
7237,"1,2-xylene  ",7835.773,2386.08,74215,44369.07,3210.245,92365,76566,125746,108317,188203,53521,158432,159748,150647,109601,149950,84803,60922,87295,78914.34,68105,52519,83348,72635.02,59955.53,78932,109139,111836,138916,147056,173549.6,38498.5,45697.97
2879,4-methylphenol  ,156524,7778.125,51772,35651.18,1142873,21581.65,59001,41605,130382,14006.25,17423,39614,22342,973037,71406,1320179,11487.3,17416.8,334281,5069.662,203347,409445,384710,457367,14970,6753.169,56737,77782,11086,3803.61,351662,71422,223250
21205,methyl 14-methylpentadecanoate ,10991,12761,3738,7288,7253,11814,6816,7274,5004,11718,9401,13032,8075,15230,20620,10971,3057,5844,7062,6562,3976,5100,10800,4045,4191,11406,6502,19389,7265,8284,22666,2700,5574
79983,"2,5-ditert-butylphenol  ",803290,68732,150385,486208,66897,199129,103686,42413,63582,99919,282439,77748,110716,84674,98849,92253,42931,106352,40682,58590,258281,77609,97344,113324,161409,31762,60073,95809,141993,123308,122978,206760,251121
460,2-methoxyphenol ,1300296,205718,149429,230344,299067,214254,213445,442668,118328,218157.6,151107,321140,82194.64,96292,630910,178884,59827,298211,248656,121361.5,356967,373046,94738,177423,191294,39946,59981,48159,57660,240937,120238,83100,150276
335,2-methylphenol ,11814,3629.314,3658,4881.052,6256,7908.598,5260,6866,4700.036,5774,3849,11314,6801.516,5334.428,10776,7006,3587.851,3718.527,7650,3328.365,5632.346,9136,2033.911,3962,4433,1831.168,1934.95,11631.77,9634,3068.721,3694,1930.472,2578
8814,"4-(2,4,4-trimethylpentan-2-yl)phenol",13627,6319,5679,10641,2785,3155,8589,5188,3102,10009,5957,8786,14531,10839,8051,12818,6663,7386,4590,3970,6847,7520,4857,7650,6002,2112.53,4309,4649,12622,16560,8919,3389,6726
85071,prop-2-enyl 2-methylpropanoate  ,1957926,2472700,1139253,2127541,2631954,1655044,3421574,450921,1005997,1885377,1747872,2378241,2296243,676825,566112,2767122,2291666,674561,371187,290332,1404998,2161677,1057344,1153754,1299421,558390,347456,435562,1600890,1358085,424259,242646,295948
622436,trimethyl-[2-trimethylsilyloxy-1-(4-trimethylsilyloxyphenyl)ethoxy]silane,102399.7,1551431,49505,71032,55897,189932,57428,54432.65,82180.73,87341,73015,97469,96734,457903,765051,88303,63126,158369.9,51864,493871,420052,755727,61246,333507,754305,72773,192677,926935,632316,69803,459714,346838,49364
622436,trimethyl-[2-trimethylsilyloxy-1-(4-trimethylsilyloxyphenyl)ethoxy]silane,1220.117,1098.999,2743.401,210.2576,2240.276,1237.005,59776,86345,79893,70325,46777,63862,65677,77047,75354,56860,69336,36952,81345,53984.64,53250.77,2143.455,44579.97,60178,73532.66,30498.17,35147,45883,62307,57964,41783.07,53971,59293
10969113,(2-methoxyphenyl)-trimethylsilane  ,1095.126,2000.708,51910,35159,1903.483,37084,34259,23718,29897,43584,19054,42827,43358,30244,32973,32601,44256,34593,16347,12892.23,16790,16465,35829.36,16575.41,18950.78,32306,9384,45509,44261,28142,32114.14,22382.82,12058.43
14014,dihydroxy(dimethyl)silane,9549.315,20501,22235.64,511115.7,27552.81,1034720,12873725,10651840,11451302,8935786,11367016,14016958,10280098,12075510,15162955,255.98,9938800,540101,1873743,175828.6,12404736,212601,20106092,1871.802,414.2266,3847875,5795332,20857786,13512028,10868177,8.28E-09,9894919,288.9975
91726212,4-O-[2-(2-chlorophenoxy)ethyl] 1-O-ethyl butanedioate,22176,5029,9629,9673,2004.082,6694,6240,17885,18401,10850,10462,26568,6424,17995,6264,19980,6133.743,2175.09,4316,5722,457.4908,5746,3955.382,10801.62,1082.066,2962,7208,6591.608,7981,8108,10987,3687.889,1388.457
11230,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,56942,15918,16147,219897.1,35373,85265,26094,22922,33971.42,29604,22809,41080,47922,35088,39273,37747,17576,26703,28789.24,36615.2,27676,34347,8272.091,19722,27689,11376,147144.2,42176.13,67127.89,40789.59,27881,11538,23122.16
11005,tetradecanoic acid,52811,99045,33183,88106,69222,89564,52316,28736,32479,93737.68,87870,85359,55107.61,36453,43283,25962,3504,2790.441,2442.9,1701.42,1784.528,4397,5247,4021.419,1808.019,3553.715,1958.619,2966.688,2054.369,3742,4931.151,247.4411,404.2625
12388,tridecane,76061.65,274609,34361.45,42202.84,29180.38,48292,49839.01,51597.62,54959,68369.17,51385,54677.13,63080.88,214602,232705,73131,31291,42836,27392.67,38006,123383,53623,60538,99456,215824,29088.46,16330,290644,179301,72683,235198,105142,31612
31355,tris(2-methylpropyl) phosphate ,114120,75406,58643,71428,75969,97669,72491,59409,81637,89979,86430,107808,122636,92066,74913,108560,47549,67322,37316,31382,45420,49708,53751,56886,52269,53692,37198,70513,101791,102496,96838,26648,42508
14257,undecane,436110,540333,247666,280013,294451,352791,270806,263488,321971,448664,414266,462856,438707,621317,621245,507085,256281,270632,269233,387480,416907,476853,233271,330868,328339,235345,330677,643804,505327,363064,557855,269346,239809
