pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
5370325,bis(2-ethylhexyl) (E)-but-2-enedioate  ,14756,10372,5223,13617,10367,9106,8586,916.2101,8441,9401,14941,14446,13823,1657.937,1237.878,8005,4675,4502,1348.567,1739.793,4121.742,5431,3997,15070,4717,5079,1058.764,2131.84,9011,9842,1703.446,1242.982,727.2068
8095,2-ethoxyethyl acetate,893.6342,2557.699,6985.534,5439.136,795.0886,34906,4466,6906,3922,5411,6612,9478,10358,7608,14623,5631.492,3400,2548.462,7731,669.728,6609,6350,3055,1780.638,2259.356,1177.976,2141.418,5002,10230,14493,930.5304,2897.077,10484.01
78349,5-methyl-5-nitrohexan-2-one,15327,8206.648,10979,109253,11814.4,68470,14817,13532,13583.41,13670.91,90945,19989.63,10375,9252.341,19576,17181,9191.341,6526.55,8940,7169,9303.855,12621,3189.888,19220,8364.363,4884,5691,11036.11,11196,8579.175,13070,83299,78175
81984,2-hydroxy-2-methyl-1-phenylpropan-1-one  ,3778571,336116,662384,206695,107038,316458,499139,367515,485431,367174,220671,365753,276297,196032,334432,581912,257764,667114,190949.3,90874,319365,384646,74475,484809,520241,98506,168797,114035,213108,334828,343876,238982.7,164928
574439,2-(hydroxymethyl)-2-methylpyrrolidine-1-carbaldehyde  ,2802483,33697.52,5701544,5795602,877339.4,6661640,6092866,4765582,5635349,6957393,6609110,7399910,7038539,7752026,8313235,7220152,4646813,4227678,5234313,4005050,5070394,4683739,3605500,4992469,4652113,3872543,4565241,5432967,8083213,6000367,5395913,3385833,4784789
567717,2-benzyl-1-morpholin-4-yl-3-phenylpropan-2-ol  ,39012,15791,9758,16922,3275,19643,5581,22445,31665,12489,14710,44578,6415,23393,7585,12859,5326,1449.434,3290,1950.587,435.3537,2827,5041,4617,535.405,3611,2108.912,6832,3666,2220.112,6481,858.5648,596.5123
448996,(E)-non-2-en-4-one,6930,20824,535.8416,2697.784,9632,8801,6414,330.2457,765.8959,3845,7564,5102,5891,1213.83,9612,7954,173.8701,3669,976.8259,1161.877,2213.561,1684.13,12611,993.7883,2930.94,7671,2594,9514,2285.859,3215,12831,1041.326,2338.42
7895,pentan-2-one  ,7720.766,1824.855,17718,2693.619,8369,17004,9903,40318,8535,4746.668,3937.265,7436.102,9241,62296,4348.902,4786,3941,2085.236,2944,2330.376,2724.468,30755,3041.3,7213,3714.749,6138,1445.884,11638,7143,3824.511,15802,1340.981,1925.845
21210,1-butoxypropan-2-ol  ,7661,6480,4007,185168,5181,111379,7711,3762,4421,7627,177211,10560,4941,3836.406,7614,7425.66,3642,3740,2979,3300,4740.044,5718.926,2376.087,6323,3932,2291.166,2920.999,7300.853,5583,4801,6641,103281,106135
5370158,"(E)-3-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl)prop-2-enal  ",10123,7249,11834.77,8607,8264,12903,8417.559,36659,11872,10912,8764,18389,25059,48114,36040,8390,3789,6052,29245,27264,3417.545,3999,3081,5715,7876,4524,29396,60908,19535,7734,65399,15262,34692
