pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
16663,4-ethylheptane,18774,20697.22,23705,42176,25290.27,13610,18723,17948,65580.26,20988,26271.84,22831.35,69890.68,23555,16253,14701,87811.13,10680,16057,66141.47,10875.96,24070.64,59666.35,16411,21538,24948,50749,19600,24209,36982,12141.62,24043.98,23822,13544.55,26187.35
11006,hexadecane,9189,9723,15579,16650,17485,12202,21233,16673,23973,18451,24102,19668,19868,21417,9753,8134,12479,6408,9846,19770,12206,5987,4339,7045,13465,16042,12635,10854,8760,11559,8004,9584,11204,7027,8881
8697,2-ethylhexanoic acid,69689,131237.6,89552,123411,113281,143898,82318,36370,180127.1,129484,206005.9,182410,145755.1,194437.1,123267.6,36651,23652.57,27616,32142,113717.7,98060,34624,109548.7,25852,20708,24884,178522,88171,159749.2,162222,12396,9636.934,22060.05,33933,44243
557859,"3,7-dimethyloct-7-en-3-ol",4786,3214.252,6234,7313,6441,6463,4037,4884,9454,5506,11696,12879,7445,5356,5169,4381,5890,3538,3647.054,9147,2931,5361,1641.088,5709,5098,6523,11600,188882,7337,11383,4641,5298,4746,5344,2642.854
75283,2-methylsulfonylacetonitrile,22892.36,27658,46429.95,16812,295790.9,300826,183008,176580,17688,101348,91361.28,35098.47,78937,122288.1,136625,27316.95,168178,141735,1754.493,114663,172191,28663.7,24791.65,101097,45797.57,130945,28175.86,4582.54,127716,27886.36,96665,109781,97967,108405,101252
91704350,"methyl 3-cyclopropyl-2-(4-fluorophenyl)-3,4-dihydropyrazole-5-carboxylate",11357,6659,14529,14984,6142,12733,17773.62,9022,5721.46,6978,7478,8759,7904.758,11695,6080,6666,7739.915,5223,8618,8442.166,5483,4101,4624,7563,7752,11237.97,15719,3563.507,13082,9923.146,6286,7286.064,6587,6156,11162.78
4133,methyl 2-hydroxybenzoate,4793,3309,8007,5992.96,6157,3542,12358.78,3461,5628786,4389,22934,6077,5340829,3205,3029.947,109016.8,1926.586,2125.12,4426,316486.3,7982.751,5021,7325163,3231.086,4145,5049.665,10648,10836.28,210907.2,6881,5190,4357,5354,2727.571,8065
13544681,N-methyl-N-[2-(methylamino)ethyl]benzamide,63144,150867,165605.3,55758,201625,90335,231712,1242193,337968,865377,143826,65525,185629,821186,182810,197014,475315,266256,103178,102608,115151,64146,137064,73726,79964,154650,218775,120782,358399,251430,44923,69416,52194,16842.24,125861
545954,2-methyl-5-propylnonane,2925,5706,21129,6887,14617,9497,10927,7111,47644.03,4859.091,20546,22389,81927,11241,10004.94,7964,2079.728,4005.324,9514,9515.423,9855,6766,4555.644,6695,8028,11667,19388,13448,6532.331,11889,4097.434,2599.201,8626.271,3832,17075
66171,1-ethenylimidazole,2231407,4576528,4617668,1454960,9397441,1032958,4492409,1135567,1360915,1576031,1400716,554182.1,1398887,1506702,479913,896380,4503633,820623,3139692,1054118,912584,663326,108352,341068,311583,4074048,726043,7467834,2326051,3406557,4065393,1965098,1587377,80686,1374858
537332,5-ethyl-2-methyloctane,3886,3659.245,4907,3080,4988,3030,3679,4064.537,5383.992,5183,4944,40557.46,4796,5703,3315,3089,8340,2025.281,2866.835,4965.049,1739.081,1507.512,5157,2308.323,2566,5091,3740.242,4770,4148,4603,2661.963,2161.489,1802.925,1946.413,1910.719
9602988,methyl (Z)-N-hydroxybenzenecarboximidate  ,8022.338,579712,16552.84,1038726,578958,1198533,1484611,1157397,2045692,1644000,936177,6172.381,966436,1190904,628083,563390,539946,382090,264669.6,709673,982323.8,528335,530552,311353,487029,599321,746798,507916,1174192,701232,382308,623015,397634,572980,507943
7237,"1,2-xylene  ",9.24E-09,2789.542,4137.12,44921,92022,102329,122106,79758,159415,77453,70023,37.34693,261781,65258.16,49108,104648,36261,33155,77329.18,66468,63198,35600,136528,72294,86015,98689,76821,69543,70181.32,129320,34027.1,27059.45,70899.92,116171,129446
2879,4-methylphenol,150310,9814.429,19938,176018,1543772,3454.161,2031494,3058.409,19078.42,7850.916,108573,5154.151,26381,289031,10782,58196,3662.674,18886,112423,5533.181,18272.82,6170.063,3831.46,7840,1189.458,13260.98,66692,130137,20552,106989,52107,13405,6390.563,906.5491,18143
22545,7-methylpentadecane,53311,51038,73971,52733,80121,48590,58211,64878,69544,72720,77768,67460,83427,84041,47445,46123,47003,38107,47427,44902,32527,38907,46462,39280,39405,76815,74153,67739,64012,75796,41401,38353,32905,37767,36439
21205,methyl 14-methylpentadecanoate,3626,6475,8673,9148,6671,14645,9090,8997,12536,10622,10881,10840,10444,12447,6495,7324,8365,2900.603,4774,4169,12920,5370,4098.041,6412,7534,6128,6996,5222,27483,11633,7057,11399,7112,5494,4179
79983,"2,5-ditert-butylphenol  ",61765,94411,158237,60919,100745,68961,98382,445292,367497,381946,192079,131615.7,192559.7,496269,79948,51173,341925,276829,111812,84838,57080.52,95125,370107,79578,43756,53468,293544,150175,328979,231442,63598,53505,58037,47683,606513
460,2-methoxyphenol,62907,514833,222871,139263,334607,192651,268636,111987,1202188,332095,203909,203214,449890.5,211833,172260,160533,99147,60605,145089.9,134826,169275,198388,177512.7,135859,174720,415731,414041,267311,300172,265364,85468.34,133527.3,125492,44879.05,204643
8814,"4-(2,4,4-trimethylpentan-2-yl)phenol",6544,13574,10153,7473,11507,7763,8274,8906,13430,9813,20226,14705,25795,15902,9111,4213,4389,6499,6980,6645,7405,6808,5699,4152,3840,4338,13646,8114,10468,6036,3551,3853,4536,3099,4442
6643,4-(2-methylbutan-2-yl)phenol,5086.569,11481,7278,5842,8392,6062.463,5998,7549,11512.65,8332,16517,11018.52,22475,13287.05,7370,3169,4174,5104.356,4965.877,4812,6413,5234,3995,3259,3365.676,3200.242,9266,6001.142,9162,5290,2976,2881.272,3092,2826.771,3245
6054,2-phenylethanol,8879,12937.98,36553,11167.68,20241,25821.68,16496,7071,33128.26,21788,19495.15,27639.26,29481.01,26547.52,18123.83,7967,5465,8912,12530,15203.53,13083.06,10515,17081.54,5879,33580,12327,15393.26,24995,29666.55,41671,15691,5415,21547,4680,9086
522537,(2-ethyl-3-hydroxyhexyl) 2-methylpropanoate,4743,5676,9188,3640,6533,3944,5311.277,371848.8,15764,237445,5648,459.3769,8122,202711,4394,7302,140945,93556.56,7518.058,7880,2476.506,2737,4484,3010,2766.237,4348,8351,6249,74553,6475.765,2706.371,2220.585,3269,1734.818,3436.858
85071,prop-2-enyl 2-methylpropanoate  ,2120529,1687913,6058455,1759814,3140440,1367015,1601399,1978799,3689064,1450753,2579549,3116643,2658358,2351458,2579142,325358,304112,2517808,898927,1425846,2761250,2023398,1534575,335056,325817,462902,4552353,2549427,580663,575085,292693,292337,333593,272447,842137
622436,trimethyl-[2-trimethylsilyloxy-1-(4-trimethylsilyloxyphenyl)ethoxy]silane,45038,52079,58073,641762.8,79668,57551,76843,79552,1285904,81142,92436,101383,1375627,103382,56354,51430,785062.6,59916,70870,551657,61894,325488,334142,43955.28,45472,75068,696799.7,102417,77243,491484,50507,412140,383653,52681,351068
7147,1-phenylpropan-1-ol,16630,20949.5,40895,44977,44781,26492.88,54561.9,30131,114074.4,47291,27044,47756,95653,51674,28452.21,37892.51,50617,17022,33106.96,58515,37031,25053.38,46112,15067,25109,28143,60271,61121,29426.75,48261,18579,20268,28544.91,10413,35679
91726212,4-O-[2-(2-chlorophenoxy)ethyl] 1-O-ethyl butanedioate,13809.07,17348,16660.45,5068.605,23339,18028,2373,6196,22975,4928.248,22024.42,15469,16817,2436.057,9953,5301.018,4822,12818,14915,5698.246,4682.451,5715,2190.137,8498.846,2618.275,9070.57,13202,18584,12932,12042,6478.916,3316.195,7958,1637.731,4809.148
91702361,"4-O-(3,7-dimethyloct-6-enyl) 1-O-propyl butanedioate",27452.47,14546,59722,14171,17424,17500,15878,22799,2808.742,20409,19623,36840,3218,14527,12385,12235,11729,8478,14272,8301,6169,6719,1415.636,9757,1781.229,8649,22146,30893,5953,10631,4037,2728.193,21015,1789.681,5600
11230,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,24206.84,36320,219019,16363,39114.64,17759,56979,17779.47,57822,32262.09,30548,24572,75963,33457,22222.4,26701,11190,18191.6,25411,26400,19797,14050,25104,14887,8101,27471,59669,35622,46904,121786.5,13317,19020.03,15499,8583.555,21027
12388,tridecane,32602,71140,53404,165584,155840.9,29781.28,103475.5,51650.17,244068,35175.22,63418.38,108999.5,87730,39726.98,24960.66,31394.81,204424,48462,58470,271372,40235,22115,115160,52548.38,63367,91373,47371,67126.43,85611.46,155569,41356,120701,105552,48426.36,13367
31355,tris(2-methylpropyl) phosphate ,66785,74375,93472,65342,101347,85336,97625,80290,94872,97176,120206,134288,123569,130538,58659,45988,60009,46203,60296,60959,43175,43946,37349,40531,30338,61192,91781,94289,99306,75162,31555,42370,40235,36490,1901.383
14257,undecane,237520,308810,412265,364605,464135,265938,354920,364165,510818,394713,444579,415806,613527,482834,277341,300135,445883,215576,315802,423064,209320,277016,395078,250067,258646,435549,506651,387231,403001,547871,247616,264382.5,251275,255170,284137
