pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
5370325,bis(2-ethylhexyl) (E)-but-2-enedioate  ,7028,6802,11344,13540,10850.63,8983,13455,9101,15732,8990,9543,12960,9309,11928,5506.933,933.1613,2908.014,5646,4596,3958,4500,6601,4234,1128.009,564.7924,1811.582,7605,11840,1313.588,2566.175,1246.802,818.6775,1736.996,783.2444,3172
8095,2-ethoxyethyl acetate,1608.426,1917.43,1746.667,2703.882,4997,4343,10639,7630,12647,26788,10099,107.045,5268,13459,3396,6667,9278,3260,3510.533,2089.175,2885,1522.89,3087,2832,5718,6404,6711,5297,4139.419,7522,485.5931,3188.727,1550.205,1451.359,5468
574439,2-(hydroxymethyl)-2-methylpyrrolidine-1-carbaldehyde  ,31878,355205.6,41115,1080428,6489854,7754310,5292649,5820796,5853170,6617614,7643716,21565.34,6932096,7474614,5071192,5116799,4843656,3832936,4724953,4024204,2544448,2394275,3925942,4226913,3158955,7083277,7430250,6415096,6351712,6382022,4514975,4107870,3352310,4680716,7122479
567717,2-benzyl-1-morpholin-4-yl-3-phenylpropan-2-ol  ,29622,15970,18800,15907,24903.89,25462,6628,4665,38741,8821,29221,7783,16563,1705.862,4597,2287.741,3652,8014,11020.65,1861.953,6218,3613,1308.029,6142,1801.666,5705,5256.7,14413,7724,4204,1126.045,2886,3172,825.2626,1750.349
5370158,"(E)-3-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl)prop-2-enal  ",13660,10325,14683,7855,9718,9795,7622,6826,8708.933,9762,8753.11,29118,10748,14461,4319,23844,51114,5179,4805,5940,3462,2599,2597,46372,24654,52606,7819,10063,62589,109320,16979,17383,37606,22029,2441.361
21630,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate  ,99657,58074,3780,10565,3278,1332.712,249687.9,379389,79737,46004,6537,3189,2584.895,2661,8038,1283.433,1540.686,1444.762,8005,7571,2873,3697,2498.984,1377.548,2903,9798,2428.068,3407,3243.46,2050.944,4979,1979.885,1528.372,5667,19280
574648,"3-(3,6-dimethyloxan-2-yl)-3-hydroxy-2-benzofuran-1-one",1846.329,9432.392,157.0686,7538,13804.02,8899.705,8732,236347,46378,135739,18395,788.9525,17535,168695.7,9939,16672,113587.2,80255,20455.33,31029,5906,5901.389,8566,6980,3790.031,13385.16,16196,11126.49,57686,19185,6630,3112.655,5906.43,5272.118,8304
137353,"3-ethyl-3-[4-(hydroxyamino)phenyl]piperidine-2,6-dione  ",1478.566,2967,11112,1994.835,1931.537,12579,12971,8104,7371,6756,2505.616,3147,1490.124,13236,26016,3421,3016,2368.937,1174.921,3709,38355,3997,2291.023,8912.776134,9148,8912.776134,22.36682,1475.002,80459,521.7326,2065.731,20405,3691.181,3204,1137.04
102123396,"[5-(4-hydroxybenzoyl)-4-oxido-1,2,4-oxadiazol-4-ium-3-yl]-(4-hydroxyphenyl)methanone  ",673481.9,508955.3,738442.2,949035,654519,494882.2,730945,716811,1592741,729822,840062,1173569,1394097,893346.3,431937.6,267282,739222,581437.9,552244,1094549,51457,495834,492434,259029.9,468269.4,498441,1079595,714130,470594,873632.6,328547,487046.4,621085.1,301040,477928.5
558880,"(5-oxooxolan-2-yl)methyl 3,5-dinitrobenzoate  ",4803.291,3862.388,11404,26277,17720,7972,17548,9962.991,5954.656,15634,23438,5154.942,2414.905,10078.92,19909,3985,2440.679,8806,4954.325,14827,12670,6324,1475.703,4690,11728,5176,9861,5335.22,4074.016,4446,7288,2598,3906,8673,8276
73219,"3,5-ditert-butyl-4-hydroxybenzaldehyde  ",11512,14428,36693,19388,5052,14651.88,9123,13250,3727.563,7352,14655,90006.42,13453,31122,2819.672,7017,17938,9025,7169,6547,3538,2328.334,1857.297,6684,3901,5135,10469,13432,11165,11764,6551,4145,18063,6148,5645
141033,"3,6,6-trimethylcyclohex-2-en-1-one  ",12527,16442,60568,15173,33742,18441,27196,9756,20452.89,31040,52309,20272,31706.7,23656,16442,7023,8898,4809,11527,19764,10000,11770,4136,11497,11940,19083,48479,28130,46954,44670,8684,7537,23621,4896,11276
66013,cyclohex-3-ene-1-carbonitrile,3823.352,4337,8983,1070.411,3230.442,1543.268,9727,3594,7716,5620,3250,574.9728,6861.747,3918,2467.823,8979,2711.937,1311.772,4675,1935.806,3704,1748.142,5374.796,1275.24,2335.205,10331,4791,2604,6051,3514,3033,3101,2426.292,1586.725,4576.198
530435,cyclobutyl 4-ethylbenzoate  ,452.0863,1220.124,543.7558,765.4655,38348,22605,27058,35182,96490,31197,52318,59.44979,30775,53618,16314,21327,26420,16343,25145,14288,33839,11382,13341,13216,8696,24694,32002,16937,33899,26433,15750,26008,7426,12973,14643
27470,3-methylheptan-4-one,6767.735,13045,19263,11831,14301,6158,29386,22949.26,40267,26662,14173,747.4864,37264,26795,15460,35880,5870,4205.95,14257,9229,19037,4521,26308,7246,5665,23781,23317,14146,27140,25033,8588,4903,8473,6002.191,23260
70,4-methyl-2-oxopentanoic acid,6610,7267,14601,7215,7754,6853,11390,8860,18924,14186,9356,9394,11549,10578,6811,3451,9900.099,2642,3993,11147,6047,3665,4075,2148.411,4819,4810,7622,4706.285,9219,5902,2759.236,4025,5087,2838,3948
520181,4-methyldocosane  ,14072.33,18580.2,18507,9507.926,21359.79,7983,24298,23399.72,55143.31,16722,10536,12363.52,31651,33200.88,12657,22994.13,7805,4235,10955,9506.332,28944,7302.19,21101.64,7293.472,5738,18585,44391.16,15683.17,17023,28107.78,9534.007,5199,16196,4769,18641
91731726,(4-trimethylsilyloxybenzoyl) 4-trimethylsilyloxybenzoate  ,4880.442,75656,97806.25,115783,73000,104967,196430,150287,239671,151197,103296,3657.023,95691,186859,89563,125145,98797,55428,70345,98631,308173,103994,90069,46886,66620,79434,104836,68147,285291,90922,92856,162647,64302,84793,62524
575987,5H-cyclopenta[b]pyridine  ,704386,260239,572654,1137426,9175372,110623,6438842,165008,117982,361885,406676,129983,160308.7,394228,177396,45834,391775,425983,621662,399137,217362,220844,2881.212,93932,2238.625,501039,271641,2978395,233116,773907,433074,785066,1238661,135.9717,157551
586164,"3,3-dimethyl-2-methylidene-5-propan-2-ylfuran",403.1602,12955,3056,4769,6456,1479.591,3563,639.9437,17264,1442.983,6982,3791.678,16284,1791.826,3471,1852.846,1520.25,474.6054,1369.952,3262.451,1997.544,3512,853.5447,3944,1476.419,6491,13301,10496,4279,7645,828.0306,1008.187,3261,342.6177,3322
